Title,URL,Username,Password,Notes,OTPAuth
site.com (username1),https://site.com,username1,password1,,
site.com (username1),https://site.com,username1,password1,,
site.com (username1),http://site.com,username1,password1,,
www.site.com (username1),https://www.site.com,username1,password1,,
www.site.com (username1),http://www.site.com,username1,password1,,
www.site.com (username1),https://www.site.com,username1,password1,,
subdomain.site.com (username1),https://subdomain.site.com,username1,password1,,
subdomain.site.com (username1),https://subdomain.site.com,username1,password1,,
Custom Title,https://site.com,username1,password1,,
,https://site.com,username1,password1,,
www.site.com (username1),https://www.site.com,username1,password1,Has notes,
www.site.com (usernameDifferent),https://www.site.com,usernameDifferent,password1,Has notes,
www.site.com (username1),https://www.site.com,username1,password1,Has notes,
www.site.com (username1),https://www.site.com,username1,passwordDifferent,Has notes,
www.airbnb.co.uk (dax),https://www.airbnb.co.uk,dax,password1,,
www.airbnb.com (dax),https://www.airbnb.com,dax,password1,,
www.airbnb.com (dax),http://www.airbnb.com,dax,password1,,
www.airbnb.fr (dax),https://www.airbnb.fr,dax,password1,,
abc.example.com (dax),https://abc.example.com,dax,password1,,
www.example.com (dax),https://www.example.com,dax,password1,,
subdomain.netflix.com (dax),https://subdomain.netflix.com,dax,password1,,
account.netflix.com (dax),https://account.netflix.com,dax,password1,,
